Epoch 1/300: Train Loss: 0.1670, Train Acc: 0.3638, Test Acc: 0.5966, Best Test Acc: 0.5966
Epoch 2/300: Train Loss: 0.1143, Train Acc: 0.6583, Test Acc: 0.5924, Best Test Acc: 0.5966
Epoch 3/300: Train Loss: 0.0892, Train Acc: 0.7829, Test Acc: 0.8319, Best Test Acc: 0.8319
Epoch 4/300: Train Loss: 0.0701, Train Acc: 0.8573, Test Acc: 0.8529, Best Test Acc: 0.8529
Epoch 5/300: Train Loss: 0.0617, Train Acc: 0.8945, Test Acc: 0.8487, Best Test Acc: 0.8529
Epoch 6/300: Train Loss: 0.0591, Train Acc: 0.9035, Test Acc: 0.8697, Best Test Acc: 0.8697
Epoch 7/300: Train Loss: 0.0525, Train Acc: 0.9146, Test Acc: 0.8697, Best Test Acc: 0.8697
Epoch 8/300: Train Loss: 0.0488, Train Acc: 0.9317, Test Acc: 0.8824, Best Test Acc: 0.8824
Epoch 9/300: Train Loss: 0.0424, Train Acc: 0.9427, Test Acc: 0.8655, Best Test Acc: 0.8824
Epoch 10/300: Train Loss: 0.0429, Train Acc: 0.9417, Test Acc: 0.8866, Best Test Acc: 0.8866
Epoch 11/300: Train Loss: 0.0437, Train Acc: 0.9447, Test Acc: 0.8655, Best Test Acc: 0.8866
Epoch 12/300: Train Loss: 0.0430, Train Acc: 0.9407, Test Acc: 0.8403, Best Test Acc: 0.8866
Epoch 13/300: Train Loss: 0.0387, Train Acc: 0.9528, Test Acc: 0.9118, Best Test Acc: 0.9118
Epoch 14/300: Train Loss: 0.0332, Train Acc: 0.9598, Test Acc: 0.9286, Best Test Acc: 0.9286
Epoch 15/300: Train Loss: 0.0323, Train Acc: 0.9658, Test Acc: 0.9244, Best Test Acc: 0.9286
Epoch 16/300: Train Loss: 0.0304, Train Acc: 0.9698, Test Acc: 0.9202, Best Test Acc: 0.9286
Epoch 17/300: Train Loss: 0.0299, Train Acc: 0.9749, Test Acc: 0.9286, Best Test Acc: 0.9286
Epoch 18/300: Train Loss: 0.0260, Train Acc: 0.9749, Test Acc: 0.9286, Best Test Acc: 0.9286
Epoch 19/300: Train Loss: 0.0252, Train Acc: 0.9789, Test Acc: 0.9160, Best Test Acc: 0.9286
Epoch 20/300: Train Loss: 0.0246, Train Acc: 0.9849, Test Acc: 0.9118, Best Test Acc: 0.9286
Epoch 21/300: Train Loss: 0.0248, Train Acc: 0.9839, Test Acc: 0.9370, Best Test Acc: 0.9370
Epoch 22/300: Train Loss: 0.0260, Train Acc: 0.9779, Test Acc: 0.9412, Best Test Acc: 0.9412
Epoch 23/300: Train Loss: 0.0225, Train Acc: 0.9879, Test Acc: 0.9412, Best Test Acc: 0.9412
Epoch 24/300: Train Loss: 0.0227, Train Acc: 0.9829, Test Acc: 0.9202, Best Test Acc: 0.9412
Epoch 25/300: Train Loss: 0.0220, Train Acc: 0.9859, Test Acc: 0.9328, Best Test Acc: 0.9412
Epoch 26/300: Train Loss: 0.0228, Train Acc: 0.9839, Test Acc: 0.9412, Best Test Acc: 0.9412
Epoch 27/300: Train Loss: 0.0209, Train Acc: 0.9879, Test Acc: 0.9244, Best Test Acc: 0.9412
Epoch 28/300: Train Loss: 0.0192, Train Acc: 0.9930, Test Acc: 0.9580, Best Test Acc: 0.9580
Epoch 29/300: Train Loss: 0.0197, Train Acc: 0.9889, Test Acc: 0.9538, Best Test Acc: 0.9580
Epoch 30/300: Train Loss: 0.0223, Train Acc: 0.9910, Test Acc: 0.9496, Best Test Acc: 0.9580
Epoch 31/300: Train Loss: 0.0205, Train Acc: 0.9920, Test Acc: 0.9202, Best Test Acc: 0.9580
Epoch 32/300: Train Loss: 0.0181, Train Acc: 0.9940, Test Acc: 0.9244, Best Test Acc: 0.9580
Epoch 33/300: Train Loss: 0.0177, Train Acc: 0.9950, Test Acc: 0.9454, Best Test Acc: 0.9580
Epoch 34/300: Train Loss: 0.0158, Train Acc: 0.9970, Test Acc: 0.9412, Best Test Acc: 0.9580
Epoch 35/300: Train Loss: 0.0151, Train Acc: 0.9970, Test Acc: 0.9454, Best Test Acc: 0.9580
Epoch 36/300: Train Loss: 0.0138, Train Acc: 0.9980, Test Acc: 0.9496, Best Test Acc: 0.9580
Epoch 37/300: Train Loss: 0.0133, Train Acc: 0.9970, Test Acc: 0.9328, Best Test Acc: 0.9580
Epoch 38/300: Train Loss: 0.0136, Train Acc: 0.9970, Test Acc: 0.9580, Best Test Acc: 0.9580
Epoch 39/300: Train Loss: 0.0131, Train Acc: 0.9980, Test Acc: 0.9454, Best Test Acc: 0.9580
Epoch 40/300: Train Loss: 0.0136, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9580
Epoch 41/300: Train Loss: 0.0124, Train Acc: 1.0000, Test Acc: 0.9454, Best Test Acc: 0.9580
Epoch 42/300: Train Loss: 0.0120, Train Acc: 1.0000, Test Acc: 0.9328, Best Test Acc: 0.9580
Epoch 43/300: Train Loss: 0.0116, Train Acc: 1.0000, Test Acc: 0.9538, Best Test Acc: 0.9580
Epoch 44/300: Train Loss: 0.0113, Train Acc: 0.9980, Test Acc: 0.9580, Best Test Acc: 0.9580
Epoch 45/300: Train Loss: 0.0108, Train Acc: 0.9980, Test Acc: 0.9706, Best Test Acc: 0.9706
Epoch 46/300: Train Loss: 0.0118, Train Acc: 0.9980, Test Acc: 0.9580, Best Test Acc: 0.9706
Epoch 47/300: Train Loss: 0.0117, Train Acc: 0.9990, Test Acc: 0.9538, Best Test Acc: 0.9706
Epoch 48/300: Train Loss: 0.0112, Train Acc: 1.0000, Test Acc: 0.9496, Best Test Acc: 0.9706
Epoch 49/300: Train Loss: 0.0103, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9706
Epoch 50/300: Train Loss: 0.0102, Train Acc: 1.0000, Test Acc: 0.9496, Best Test Acc: 0.9706
Epoch 51/300: Train Loss: 0.0120, Train Acc: 0.9990, Test Acc: 0.9538, Best Test Acc: 0.9706
Epoch 52/300: Train Loss: 0.0104, Train Acc: 1.0000, Test Acc: 0.9538, Best Test Acc: 0.9706
Epoch 53/300: Train Loss: 0.0119, Train Acc: 0.9990, Test Acc: 0.9496, Best Test Acc: 0.9706
Epoch 54/300: Train Loss: 0.0110, Train Acc: 0.9990, Test Acc: 0.9580, Best Test Acc: 0.9706
Epoch 55/300: Train Loss: 0.0093, Train Acc: 1.0000, Test Acc: 0.9538, Best Test Acc: 0.9706
Epoch 56/300: Train Loss: 0.0101, Train Acc: 1.0000, Test Acc: 0.9496, Best Test Acc: 0.9706
Epoch 57/300: Train Loss: 0.0098, Train Acc: 0.9990, Test Acc: 0.9454, Best Test Acc: 0.9706
Epoch 58/300: Train Loss: 0.0088, Train Acc: 1.0000, Test Acc: 0.9412, Best Test Acc: 0.9706
Epoch 59/300: Train Loss: 0.0085, Train Acc: 1.0000, Test Acc: 0.9412, Best Test Acc: 0.9706
Epoch 60/300: Train Loss: 0.0084, Train Acc: 1.0000, Test Acc: 0.9538, Best Test Acc: 0.9706
Epoch 61/300: Train Loss: 0.0081, Train Acc: 1.0000, Test Acc: 0.9580, Best Test Acc: 0.9706
Epoch 62/300: Train Loss: 0.0077, Train Acc: 1.0000, Test Acc: 0.9790, Best Test Acc: 0.9790
